"vi_VN";"vi_VN"
"Post New Listing";"Post New Listing"
"";""
"Post New Listing";"Tạo mới chủ đề"
"Hot Classifieds";"Chủ đề nổi bật"
"Blogs";"Tư vấn chuyên gia"
"Browse Categories";"Danh mục chủ đề"
"Recent Classifieds";"Bài viết mới"
"Popular Classifieds";"Bài viết nổi bật"
"Category";"Danh mục"
"Categories";"Danh mục"
"Browse By";"Xắp xếp theo"
"Most Recent";"Mới nhất"
"Most Viewed";"Xem nhiều"
"Search Classifieds";"Từ khóa"
"Search";"Tìm kiếm"
"Browse Classifieds";"Danh sách chủ đề"
"Classified Listings";"Chủ đề"
"Browse Listings";"Danh mục chủ đề"
"My Listings";"Chủ đề của tôi"
"Post a New Listing";"Tạo mới chủ đề"
"Random Blogs";"Tư Vấn"
"Browse Categories Slide";"Chủ Đề"
"Exploration";"Khám phá thêm"
"Password";"Mật khẩu"
"Forgot Password?";"Quên mật khẩu?"
"<span><a href='%s'>Forgot Password?</a></span>";"<span><a href='%s'>Quên mật khẩu?</a></span>"
"cancel";"hủy"
" or ";" hoặc "
"Get Notification";"Nhận thông báo"
"Getting Notification";"Nhận thông báo"
"wanted to get notification";"wanted to get notification"
"Do you want to get notification from this member?";"Bạn có muốn nhận thông báo từ thành viên này?"
"Get";"Nhận"
"Suggest Friend";"Gợi ý kết bạn"
"Suggest Friends";"Gợi ý kết bạn"
"Suggest friend for";"Gợi ý kết bạn cho"
"No members for suggestion";"Không có thành viên để gợi ý"
"Does %s know any of your friends?";"%s có biết bạn bè của bạn?"
"{item:$subject} has just suggested {item:$object} to you.";"{item:$subject} vừa gợi ý {item:$object} tới bạn."
"Save Changes";"Lưu"
"General Settings";"Cài đặt tổng quát"
"New classified listings";"Tạo mới chủ đề"
"Comments on your photo albums";"Bình luận trên album của bạn"
"Comments on your photos";"Bình luận trên ảnh của bạn"
"Comments on your classified listings";"Bình luận trên chủ đề của bạn"
"When I comments on a blog.";"Khi bạn bình luận một bài tư vấn"
"When I likes on a blog.";"Khi bạn like một bài tư vấn"
"Activity Feed Item Shared";"Chia sẽ status"
"Tagged";"Khi bạn được tag"
"When I import blogs";"Khi bạn import bài viết Tư Vấn"
"When I create a blog.";"Khi bạn viết bài viết Tư Vấn"
"_ACTIVITY_ACTIONTYPE_YNMEMBER_RELATIONSHIP";"Khi bạn đăng relationship"
"_ACTIVITY_ACTIONTYPE_YNMEMBER_SHARE";"Khi bạn chia sẽ"
"Everyone";"Tất cả"
"New photo albums";"Khi bạn chia sẽ album mới"
"Everything";"Tất cả"
"Blog Entry";"Tư vấn chuyên gia"
"Classifieds";"Chủ đề"
"Q&A";"Diễn đàn"
"Please enter an email address so we can keep you up to date on the release of the site.";"Vui lòng nhập địa chỉ email."
"Invalid email";"Địa chỉ email không đúng"
"Thanks for submitting your email. We\'ll keep you up to date on our progress!";"Cảm ơn bạn đã follow chúng tôi."
"";""
"";""
"";""
"";""
"";""
"";""
"";""
"";""
"";""
"";""
"";""
"";""
"";""
"";""
"";""
"";""
"";""
"";""
"";""
"";""
"";""
